dist_no,district_name,average_salary_23-24,turnover_percent
101,CARROLL ,61747.49,36.7
105,CARTER ,57834.14,16.8
111,CASEY ,55405.28,14.8
113,CAVERNA,60412.1,34.7
115,CHRISTIAN ,53351.72,32.4
121,CLARK ,57213.3,30.1
125,CLAY ,55436.83,14.5
131,CLINTON ,54423.98,8.8
132,CLOVERPORT,50823.64,29.0
133,RBIN,61271.17,17.2
134,VINGTON,60668.52,35.1
135,CRITTENDEN ,56042.02,26.5
141,CUMBERLAND ,55934.83,20.5
143,DANVILLE,60523.11,23.1
145,DAVIESS ,62673.99,15.9
146,DAWSON SPGS,54456.02,15.6
147,DAYTON,65067.13,15.1
149,E BERNSTADT,60289.49,12.1
151,EDMONSON ,53753.59,14.5
152,ELIZABETHTOWN,61402.57,28.1
155,ELLIOTT ,51092.88,18.1
156,EMINENCE,53070.07,30.5
157,ERLANGER,65076.99,22.6
161,ESTILL ,56432.35,26.8
162,FAIRVIEW,56723.67,26.1
165,FAYETTE ,75735.12,29.2
171,FLEMING ,53798.2,37.3
175,FLOYD ,55825.19,22.2
176,FT THOMAS,72662.72,13.8
177,FRANKFORT,56272.32,30.0
181,FRANKLIN ,60698.2,23.2
185,FULTON ,53242.71,35.8
186,FULTON,53768.84,25.0
191,GALLATIN ,59054.83,30.5
195,GARRARD ,55517.21,23.8
197,GLASGOW,63350.95,15.0
201,GRANT ,53209.63,25.3
205,GRAVES ,57594.36,22.0
211,GRAYSON ,55735.08,17.6
215,GREEN ,55894.84,14.5
221,GREENUP ,53997.78,27.5
225,HANCK ,63159.13,24.8
231,HARDIN ,61133.53,21.7
235,HARLAN ,53959.52,12.4
236,HARLAN,53713.06,17.9
241,HARRISON ,59390.47,13.5
245,HART ,56398.54,22.8
246,HAZARD,56948.11,16.1
251,HENDERSON ,59957.33,22.5
255,HENRY ,57382.47,28.9
261,HICKMAN ,54861.85,12.7
265,HOPKINS ,55589.92,20.7
271,JACKSON ,54695.85,13.2
272,JACKSON,58647.85,12.0
275,JEFFERSON ,79020.21,23.5
276,JENKINS,54786.19,17.6
281,JESSAMINE ,64027.29,22.5
285,JOHNSON ,57739.66,17.8
291,KENTON ,66243.62,19.5
295,KNOTT ,58005.78,19.3
301,KNOX ,54425.9,23.9
305,LARUE ,61748.05,24.3
311,LAUREL ,59836.63,19.1
315,LAWRENCE ,53074.18,19.0
321,LEE ,54471.66,23.9
325,LESLIE ,54677.19,13.7
331,LETCHER ,57800.19,24.7
335,LEWIS ,55279.72,19.6
341,LINLN ,55023.11,30.5
345,LIVINGSTON ,60098.16,21.6
351,LOGAN ,54721.49,20.7
354,LUDLOW,66556.19,15.4
361,LYON ,60145.27,25.4
365,MADISON ,59636.48,21.9
371,MAGOFFIN ,54306.53,5.2
375,MARION ,63777.07,21.0
381,MARSHALL ,62783.46,17.9
385,MARTIN ,56109.37,18.3
391,MASON ,60133.37,17.3
392,MAYFIELD,59814.52,12.8
395,MCCRACKEN ,62949.79,20.8
401,MCCREARY ,54436.76,32.8
405,MCLEAN ,56281.21,22.1
411,MEADE ,61642.99,16.9
415,MENIFEE ,55723.46,28.2
421,MERCER ,62402.03,29.6
425,METCALFE ,57669.62,13.1
426,MIDDLESBORO,56036.44,14.4
431,MONROE ,58535.98,11.2
435,MONTGOMERY ,56357.44,31.4
441,MORGAN ,56060.32,24.0
445,MUHLENBERG ,59076.82,14.4
446,MURRAY,60985.54,14.3
451,NELSON ,61028.7,25.9
452,NEWPORT,64794.17,28.4
455,NICHOLAS ,53656.16,22.5
461,OHIO ,57231.55,16.7
465,OLDHAM ,58292.78,31.1
471,OWEN ,55645.36,23.7
472,OWENSBORO,62302.0,22.9
475,OWSLEY ,59120.58,8.2
476,PADUCAH,64048.69,16.5
477,PAINTSVILLE,61438.69,16.7
478,PARIS,57965.27,58.6
481,PENDLETON ,59417.1,28.0
485,PERRY ,59355.16,23.6
491,PIKE ,56130.6,12.0
492,PIKEVILLE,68340.5,19.8
493,PINEVILLE,54697.04,28.3
495,POWELL ,56051.3,31.2
501,PULASKI ,54912.32,16.1
502,RACELAND,59070.2,23.3
505,ROBERTSON ,54949.19,27.8
511,ROCKCASTLE ,56018.9,25.3
515,ROWAN ,55220.04,22.8
521,RUSSELL ,55834.57,13.2
522,RUSSELL,62925.14,26.0
523,RUSSELLVILLE,52722.92,37.3
524,SCIENCE HILL,59214.44,12.1
525,SCOTT,58763.22,22.7
531,SHELBY ,60476.75,34.6
535,SIMPSON ,61703.46,23.8
536,SOMERSET,59147.32,14.0
537,SOUTHGATE,55674.9,42.9
541,SPENCER ,62282.13,17.1
545,TAYLOR ,57631.08,15.9
551,TODD ,53237.8,27.1
555,TRIGG ,57312.64,16.9
561,TRIMBLE ,54994.35,35.2
565,UNION ,55875.91,29.2
567,WALTON VERONA,62505.41,11.6
571,WARREN ,58892.91,23.5
575,WASHINGTON ,64346.29,18.6
581,WAYNE ,54160.67,21.3
585,WEBSTER ,53748.45,25.3
591,WHITLEY ,58899.08,14.2
592,WILLIAMSBURG,50744.22,11.8
593,WILLIAMSTOWN,55892.89,27.6
595,WOLFE ,60554.68,15.2
601,WOODFORD ,61145.86,24.4
